doc_id,text
1,"In the case of Document 1, regarding Family Law, The defendant was found not guilty. This case highlights that Intentional infliction of emotional distress."
2,"In the case of Document 2, regarding Intellectual Property, The case was dismissed due to lack of evidence. This case highlights that Duty of care must be established."
3,"In the case of Document 3, regarding Intellectual Property, The ruling established a new precedent. This case highlights that Duty of care must be established."
4,"In the case of Document 4, regarding Contract Law, The parties reached a settlement before trial. This case highlights that The principle of good faith and fair dealing."
5,"In the case of Document 5, regarding Tax Law, The defendant was found not guilty. This case highlights that The 'reasonable person' standard in tort cases."
6,"In the case of Document 6, regarding Corporate Law, The defendant was found not guilty. This case highlights that Duty of care must be established."
7,"In the case of Document 7, regarding Tax Law, The parties reached a settlement before trial. This case highlights that Intentional infliction of emotional distress."
8,"In the case of Document 8, regarding Contract Law, The defendant was found not guilty. This case highlights that Intentional infliction of emotional distress."
9,"In the case of Document 9, regarding Contract Law, The defendant was found not guilty. This case highlights that The principle of good faith and fair dealing."
10,"In the case of Document 10, regarding Family Law, The ruling established a new precedent. This case highlights that Intentional infliction of emotional distress."
11,"In the case of Document 11, regarding Intellectual Property, The court ruled in favor of the plaintiff. This case highlights that Fair use of copyrighted material."
12,"In the case of Document 12, regarding Tax Law, The parties reached a settlement before trial. This case highlights that The 'reasonable person' standard in tort cases."
13,"In the case of Document 13, regarding Corporate Law, The court granted a motion for summary judgment. This case highlights that Intentional infliction of emotional distress."
14,"In the case of Document 14, regarding Labor Law, The ruling established a new precedent. This case highlights that The 'reasonable person' standard in tort cases."
15,"In the case of Document 15, regarding Environmental Law, The case was dismissed due to lack of evidence. This case highlights that Negligence must be proven."
16,"In the case of Document 16, regarding Family Law, The defendant was found not guilty. This case highlights that Negligence must be proven."
17,"In the case of Document 17, regarding Criminal Law, The parties reached a settlement before trial. This case highlights that Fair use of copyrighted material."
18,"In the case of Document 18, regarding Tax Law, The defendant was found not guilty. This case highlights that Fair use of copyrighted material."
19,"In the case of Document 19, regarding Contract Law, The parties reached a settlement before trial. This case highlights that Intentional infliction of emotional distress."
20,"In the case of Document 20, regarding Environmental Law, The court ruled in favor of the plaintiff. This case highlights that The principle of good faith and fair dealing."
21,"In the case of Document 21, regarding Family Law, The case was dismissed due to lack of evidence. This case highlights that Negligence must be proven."
22,"In the case of Document 22, regarding Family Law, The parties reached a settlement before trial. This case highlights that Intentional infliction of emotional distress."
23,"In the case of Document 23, regarding Tort Law, The parties reached a settlement before trial. This case highlights that Duty of care must be established."
24,"In the case of Document 24, regarding Intellectual Property, The court ruled in favor of the plaintiff. This case highlights that Negligence must be proven."
25,"In the case of Document 25, regarding Contract Law, The defendant was found not guilty. This case highlights that Negligence must be proven."
26,"In the case of Document 26, regarding Corporate Law, The ruling established a new precedent. This case highlights that Negligence must be proven."
27,"In the case of Document 27, regarding Tax Law, The court ruled in favor of the plaintiff. This case highlights that The principle of good faith and fair dealing."
28,"In the case of Document 28, regarding Contract Law, The defendant was found not guilty. This case highlights that The 'reasonable person' standard in tort cases."
29,"In the case of Document 29, regarding Contract Law, The court ruled in favor of the plaintiff. This case highlights that The principle of good faith and fair dealing."
30,"In the case of Document 30, regarding Family Law, The case was dismissed due to lack of evidence. This case highlights that Negligence must be proven."
31,"In the case of Document 31, regarding Contract Law, The court granted a motion for summary judgment. This case highlights that Negligence must be proven."
32,"In the case of Document 32, regarding Corporate Law, The court granted a motion for summary judgment. This case highlights that Fair use of copyrighted material."
33,"In the case of Document 33, regarding Environmental Law, The defendant was found not guilty. This case highlights that Fair use of copyrighted material."
34,"In the case of Document 34, regarding Corporate Law, The court granted a motion for summary judgment. This case highlights that Negligence must be proven."
35,"In the case of Document 35, regarding Corporate Law, The ruling established a new precedent. This case highlights that Intentional infliction of emotional distress."
36,"In the case of Document 36, regarding Criminal Law, The ruling established a new precedent. This case highlights that Negligence must be proven."
37,"In the case of Document 37, regarding Criminal Law, The court ruled in favor of the plaintiff. This case highlights that Intentional infliction of emotional distress."
