review,sentiment
"Okay, I know this does'nt project India in a good light. But the overall theme of the movie is not India, it's Shakti. The power of a warlord, and the power of a mother. The relationship between Nandini and her husband and son swallow you up in their warmth. Then things go terribly wrong. The interaction between Nandini and her father in law - the power of their dysfunctional relationship - and the lives changed by it are the strengths of this movie. Shah Rukh Khan's performance seems to be a mere cameo compared to the believable desperation of Karisma Kapoor. It is easy to get caught up in the love, violence and redemption of lives in this film, and find yourself heaving a sigh of relief and sadness at the climax. The musical interludes are strengths, believable and well done.",1
"Despite John Travolta's statements in interviews that this was his favorite role of his career, ""Be Cool"" proves to be a disappointing sequel to 1995's witty and clever ""Get Shorty.""<br /><br />Travolta delivers a pleasant enough performance in this mildly entertaining film, but ultimately the movie falls flat due to an underdeveloped plot, unlikeable characters, and a surprising lack of chemistry between leads Travolta and Uma Thurman. Although there are some laughs, this unfunny dialog example (which appeared frequently in the trailers) kind of says it all: Thurman: Do you dance? Travolta: Hey, I'm from Brooklyn.<br /><br />The film suggests that everyone in the entertainment business is a gangster or aspires to be one, likening it to organized crime. In ""Get Shorty,"" the premise of a gangster ""going legitimate"" by getting into movies was a clever fish-out-of water idea, but in ""Be Cool,"" it seems the biz has entirely gone crooked since then.<br /><br />The film is interestingly casted and the absolute highlight is a ""monolgue"" delivered by The Rock, whose character is an aspiring actor as well as a goon, where he reenacts a scene between Gabrielle Union and Kirsten Dunst from ""Bring It On."" Vince Vaughan's character thinks he's black and he's often seen dressed as a pimp-- this was quite funny in the first scene that introduces him and gets tired and embarrassing almost immediately afterward.<br /><br />Overall, ""Be Cool"" may be worth a rental for John Travolta die-hards (of which I am one), but you may want to keep your finger close to the fast forward button to get through it without feeling that you wasted too much time. Fans of ""Get Shorty"" may actually wish to avoid this, as the sequel is devoid of most things that made that one a winner. I rate this movie an admittedly harsh 4/10.",0
"I am a kung fu fan, but not a Woo fan. I have no interest in gangster movies filled with over-the-top gun-play. Now, martial arts; *that's* beautiful! And John Woo surprised me here by producing a highly entertaining kung fu movie, which almost has *too much* fighting, if such a thing is possible! This is good stuff.<br /><br />Many of the fight scenes are very good (and some of them are less good), and the main characters are amusing and likable. The bad guys are a bit too unbelievably evil, but entertaining none the less. You gotta see the Sleeping Wizard!! He can only fight when he's asleep - it's hysterical!<br /><br />Upon repeated viewings, however, Last Hurrah For Chivalry can tend to get a little boring and long-winded, also especially because many of the fight scenes are actually not that good. Hence, I rate it ""only"" a 7 out of 10. But it really is almost an ""8"".<br /><br />All in all one of the better kung fu movies, made smack-dab in the heart of kung fu cinema's prime. All the really good kung fu movies are from the mid- to late 1970ies, with some notable exceptions from the late '60ies and early '70ies (and early '80ies, to be fair).",1
"He seems to be a control freak. I have heard him comment on ""losing control of the show"" and tell another guest who brought live animals that he had one rule-""no snakes."" He needs to hire a comedy writer because his jokes are lame. The only reason I watch him is because he some some great guests and bands. <br /><br />I watched the Craig Ferguson show for a while but his show is even worse. He likes to bull sh** to burn time.I don't think either man has much of a future in late night talk shows.<br /><br />Daily also has the annoying habit of sticking his tongue out to lick his lips. He must do this at least 10 times a show. I do like the Joe Firstman band. Carson Daily needs to lighten up before it is too late.",0
"Admittedly, there are some scenes in this movie that seem a little unrealistic. The ravishing woman first panics and then, only a few minutes later, she starts kissing the young lad while the old guy is right next to her. But as the film goes along we learn that she is a little volatile girl (or slut) and that partly explains her behavior. The cinematography of this movie is well done. We get to see the elevator from almost every angle and perspective, and some of those images and scenes really raise the tension. Götz George plays his character well, a wannabe hot-shot getting old and being overpowered by young men like the Jaennicke character. Wolfgang Kieling who I admired in Hitchcock's THE TORN CURTAIN delivers a great performance that, although he doesn't say much, he is by far the best actor in this play. One critic complained about how unrealistic the film was and that in a real case of emergency nothing would really happen. But then again, how realistic are films such as Mission impossible or Phone Booth. Given the fact that we are talking about a movie here, and that in a movie you always have to deal with some scenes that aren't very likely to occur in real life, you can still enjoy this movie. It's a lot better than many things that I see on German TV these days and I think that the vintage 80's style added something to this film.",1
"I just watched Nightbreed for the first time since seeing it in the theater almost 20 years ago, and while I remember liking it at the time, I don't remember being blown away by it like I was today. I really can't complain about anything in this movie. Craig Scheffer is excellent as the lead character of Boone. I never understood why he hasn't had a more successful career, because most of his early work is outstanding. As good as Scheffer is, Cronenberg is even better. His portrayal of the psycho Dr. Decker is unforgettable, and steals the show. The rest of the cast, which includes Doug Bradley is very good, save for the ridiculously over the top redneck sheriff. The visuals are good, and in some shots great. The Danny Elfman composed score is as good as it gets, and is among his best work. The ending was epic, with nonstop action for close to twenty minutes. Overall, Nightbreed is a tremendous accomplishment for Clive Barker, and ranks as my favorite of his movies, just slightly ahead of Hellraiser. 9/10",1
"The plot is about a female nurse, named Anna, is caught in the middle of a world-wide chaos as flesh-eating zombies begin rising up and taking over the world and attacking the living. She escapes into the streets and is rescued by a black police officer. So far, so good! I usually enjoy horror movies, but this piece of film doesn't deserve to be called horror. It's not even thrilling, just ridiculous.Even ""the Flintstones"" or ""Kukla, Fran and Ollie"" will give you more excitement. It's like watching a bunch of bloodthirsty drunkards not being able to get into a shopping mall to by more liquor. The heroes who has locked themselves in, inside the shopping-mall to avoid being eaten by the hoodlums outside, are not better either. Even though they doesn't seem to be drunk, they give the impression of being mentally disabled. Save your money instead of spending it on this!",0
"Having heard so much about the 1990s Cracker series without seeing any of them, I looked forward to this eagerly. Surely the combination of Jimmie McGovern and Robbie Coltrane could not go wrong. How wrong I was! <br /><br />The polemics, backed by frequent, repetitive and violent flashbacks, were overpowering. The production tried to be super-modern, but the flashing boxes and even the childish font irritated. Robbie Coltrane sleep-walked through the two hours, coming up with unexplained and unlikely ""insights"", and the police were portrayed as one-dimensional bumbling idiots. As a result, the tension never built up and the next-to-final scene (no details for fear of spoilers) was as laughably bad a piece of TV drama as I have seen for a long time.<br /><br />No, I don't want to see any more of these, but I will go back to the DVDs of the 1990s series to see if they match their reputation.",0
"Having been a faithful Asterix fan all of my life, I have to say that ""Asterix and the Vikings"" is probably the most well done of all the Asterix films. Its got some very funny jokes in it and the animation is superb. As many people have pointed out, it doesn't really follow the plot of the comic (""Asterix and the Normans"") very closely, but in many ways that's just as well, because that book stands out in my mind as one which poked a great deal of fun at the culture of the sixties, and much of it is very dated today.<br /><br />What really rubbed me the wrong way, though, is how they incorporated a Disney-style plot into the film which took much of the focus away from Asterix and Obelix. We have a misunderstood boy who doesn't fit in, Justforkix. We have a tom-boy girl who doesn't fit in because she wants to be treated as equal to men, Abba. They meet and fall in love, but their love is threatened because boy is ashamed to be totally honest with girl, but in the end their love wins out. This has been the plot of so many Disney (and, be fair, other studios too) films that its not funny and the plot was old twenty years ago. I mean, they even gave Justforkix a whimsical animal sidekick.<br /><br />Not only did I find this derivative and clichéd, but it really detracted from the story and left me dissatisfied.<br /><br />I think that it speaks volumes about how superb the rest of the movie was that I still think very highly of it, despite the way the plot got hijacked.",1
"I know little or nothing about astronomy, but nevertheless; I was, at first, a little sceptical about the plot of this movie. It follows three children that were all born during a solar eclipse and so have no emotion, and thus (naturally) become ruthless serial killers. The plot does sound ridiculous at first, but once you realise that a solar eclipse blocks out Saturn and, as you know, Saturn is the emotion planet, it all falls into place; makes complete sense and it's then that you know you aren't simply watching another silly 80's slasher with a pea brain plot. Thank god for that! Seriously, though, Bloody Birthday is based on a ridiculous premise, but it more than makes up for that with it's originality. Having a bunch of kids going round slaughtering people may not be the most ingenious masterstroke ever seen in cinema, but when given the choice between this and another dull Friday the 13th clone - I know what I'd choose.<br /><br />Also helping the film out of the hole that some people would think it's silly plot dug it into is the fact that it's extremely entertaining. Many slashers become formulaic far too quickly and the audience ends up watching simply to see some gore. This film, however, keeps itself going with some great creepy performances from the kids (which harks back to creepy kid classics such as Village of the Damned), a constant stream of sick humour and a small, but impressive for the type of film, dose of suspense and tension. One thing that I liked a lot about this movie was the vast array of weaponry. There's nothing worse than a slasher where the killer uses the same weapon over and over again (cough Halloween cough), but that's not the case here as Bloody Birthday finds room for everything from skipping ropes to bow and arrows. There wasn't any room for a chainsaw, which is a huge shame, but I suppose not every film can have a chainsaw in it.",1
